signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S14-CHFJPY-H1-IB0001,2026-06-23 07:00:05.469883,CHFJPY,1,invalidat,199.915,199.706,200.333,2.0,,,,,0.0,,,
S14-CHFJPY-H1-SIG0001,2026-06-23 12:00:05.413386,CHFJPY,1,SL,199.874,199.453,201.3475,3.5,,2026-06-23 03:00:00,199.454,2026-06-23 14:00:44,-0.998,,,
S14-CHFJPY-H1-IB0002,2026-06-24 12:00:05.836127,CHFJPY,1,SL,199.622,199.163,200.54,2.0,,2026-06-23 15:00:00,199.153,2026-06-24 14:05:26,-1.022,-2.93,,
S14-CHFJPY-H1-SIG0002,2026-06-26 20:00:33.857039,CHFJPY,1,vineri_close,199.943,199.48,202.0265,4.5,,2026-06-26 09:00:00,199.831,2026-06-26 20:00:33.857039,-0.242,-0.6932,,
S14-CHFJPY-H1-IB0005,2026-06-30 07:00:05.764958,CHFJPY,1,invalidat,200.95,200.424,202.002,2.0,,,,,0.0,0.0,,
S14-CHFJPY-H1-IB0003,2026-06-30 16:40:27.999912,CHFJPY,1,SL,199.868,199.657,200.296,2.028,,2026-06-26 01:29:05,199.567,2026-06-26 03:02:49,-1.427,-1.86,,
S14-CHFJPY-H1-IB0004,2026-06-30 17:51:03.828307,CHFJPY,1,TP,200.439,200.083,201.151,2.0,,2026-06-29 19:00:00,201.155,2026-06-30 20:46:34,2.011,4.47,,
