signal_id,time,symbol,direction,dir_str,entry,sl,tp,r_ratio,atr_pips,n_optional,rsi
S19-AUDNZD-IB0001,2026-06-29 06:30:00,AUDNZD,-1,SHORT,1.22047,1.2214,1.21861,2.0,5.5,0,41.8
S19-AUDNZD-SIG0001,2026-06-29 08:30:00,AUDNZD,-1,SHORT,1.21992,1.22093,1.21538,4.5,4.4,2,39.3
S19-AUDNZD-IB0002,2026-06-29 18:15:00,AUDNZD,-1,SHORT,1.21836,1.2194,1.21628,2.0,4.3,0,29.2
S19-AUDNZD-IB0003,2026-07-07 01:30:00,AUDNZD,1,LONG,1.22025,1.21964,1.22147,2.0,4.4,0,55.3
S19-AUDNZD-IB0004,2026-07-08 04:30:00,AUDNZD,1,LONG,1.21967,1.21874,1.22153,2.0,5.9,0,47.6
S19-AUDNZD-IB0005,2026-07-09 01:30:00,AUDNZD,-1,SHORT,1.21509,1.21602,1.21323,2.0,9.3,0,51.3
S19-AUDNZD-SIG0003,2026-07-09 06:00:00,AUDNZD,-1,SHORT,1.21108,1.21253,1.20601,3.5,7.2,1,33.9
