signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S8-EURCAD-H1-FLG0001,2026-07-30 03:00:32.465535,EURCAD,1,ai_reject,1.61071,1.60856,1.61609,2.5,2026-07-30 01:00:00,,,,0.0,,,
S8-EURCAD-H1-IB0012,2026-07-30 17:02:11.449108,EURCAD,1,ai_reject,1.6128,1.61012,1.61816,2.0,2026-07-30 15:00:00,,,,0.0,,,
S8-EURCAD-H1-IB0013,2026-08-05 13:00:20.582303,EURCAD,1,expirat,1.62217,1.6189,1.62871,2.0,2026-08-04 18:00:00,,,2026-08-05 12:00:00,0.0,0.0,,
S8-EURCAD-H1-IB0014,2026-08-07 09:01:23.358763,EURCAD,1,ai_reject,1.61573,1.61493,1.61733,2.0,2026-08-07 07:00:00,,,,0.0,,,
S8-EURCAD-H1-IB0015,2026-08-10 08:00:32.516225,EURCAD,1,ai_reject,1.61298,1.61171,1.61552,2.0,2026-08-10 06:00:00,,,,0.0,,,
S8-EURCAD-H1-SIG0002,2026-08-26 03:00:14.369945,EURCAD,1,ai_reject,1.61589,1.61351,1.62422,3.5,2026-08-26 01:00:00,,,,0.0,,,
