signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,triggered_at,exit_price,exit_time,result_r,pnl_usd
S18-NZDJPY-H1-IB0001,2026-06-23 19:00:05.402445,NZDJPY,1,invalidat,91.783,91.577,92.195,2.0,,,,0.0,0.0
S18-NZDJPY-H1-IB0002,2026-06-25 08:35:01.428029,NZDJPY,-1,SL,91.185,91.372,90.811,2.0,2026-06-25 04:00:00,91.37,2026-06-25 11:00:30,-0.989,-1.34
S18-NZDJPY-H1-IB0003,2026-06-26 05:00:05.978914,NZDJPY,-1,expirat,91.145,91.431,90.573,2.0,,,2026-06-26 03:00:00,0.0,0.0
S18-NZDJPY-H1-IB0005,2026-06-26 16:32:59.748960,NZDJPY,-1,invalidat,91.263,91.413,90.963,2.0,,,,0.0,0.0
S18-NZDJPY-H1-IB0006,2026-06-26 23:00:05.514546,NZDJPY,-1,TP,91.212,91.395,90.846,2.0,2026-06-26 20:00:00,91.195,2026-06-27 01:19:06,0.093,0.11
S18-NZDJPY-H1-IB0007,2026-06-29 20:00:35.580466,NZDJPY,-1,invalidat,91.302,91.539,90.828,2.0,,,,0.0,0.0
S18-NZDJPY-H1-IB0009,2026-06-30 01:00:05.344286,NZDJPY,1,invalidat,91.605,91.459,91.897,2.0,,,,0.0,0.0
S18-NZDJPY-H1-IB0010,2026-06-30 04:00:05.297559,NZDJPY,-1,SL,91.463,91.582,91.225,2.0,2026-06-30,91.597,2026-06-30 06:55:00,-1.126,-0.66
S18-NZDJPY-H1-IB0008,2026-06-30 09:29:45.638853,NZDJPY,1,expirat,91.605,91.459,91.897,2.0,,,2026-06-30 08:00:00,0.0,0.0
S18-NZDJPY-H1-SIG0001,2026-06-26 23:42:28.000000,NZDJPY,-1,vineri_close,91.446,91.797,90.2175,3.5,2026-06-24 07:46:35,91.218,2026-06-26 23:42:23,0.65,1.4
