signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S17-AUDCAD-H1-IB0006,2026-08-11 17:02:32.915727,AUDCAD,1,ai_reject,0.9854,0.98376,0.98868,2.0,2026-08-11 16:00:00,,,,0.0,,,
S17-AUDCAD-H1-IB0007,2026-08-25 15:00:15.232999,AUDCAD,1,ai_reject,0.99186,0.99069,0.9942,2.0,2026-08-25 14:00:00,,,,0.0,,,
S17-AUDCAD-H1-IB0008,2026-08-27 16:00:18.340984,AUDCAD,1,ai_reject,0.99792,0.99593,1.0019,2.0,2026-08-27 15:00:00,,,,0.0,,,
