signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S9-USDJPY-SIG0001,2026-06-23 10:15:05.047886,USDJPY,1,SL,161.633,161.457,162.249,3.5,,2026-06-23 01:15:00,161.407,2026-06-23 13:01:26,-1.286,-1.39,,
S9-USDJPY-SIG0003,2026-06-24 07:30:15.608825,USDJPY,1,expirat,161.624,161.513,162.1235,4.5,,,,2026-06-24 07:15:00,0.0,0.0,,
S9-USDJPY-IB0002,2026-06-24 11:15:05.076654,USDJPY,1,TP,161.593,161.514,161.751,2.0,,2026-06-24 02:45:00,161.753,2026-06-24 14:14:26,2.025,3.96,,
S9-USDJPY-IB0003,2026-06-24 19:15:05.204964,USDJPY,1,expirat,161.836,161.705,162.098,2.0,,,,2026-06-24 19:00:00,0.0,0.0,,
S9-USDJPY-IB0001,2026-06-25T19:23:03,USDJPY,1,expirat,161.526,161.45,161.678,2.0,,,,,0.0,,,
S9-USDJPY-IB0006,2026-06-29 19:15:10.464045,USDJPY,1,expirat,161.959,161.878,162.121,2.0,,,,2026-06-29 19:00:00,0.0,0.0,,
S9-USDJPY-IB0007,2026-06-29 21:15:07.122985,USDJPY,1,expirat,161.965,161.908,162.079,2.0,,,,2026-06-29 21:00:00,0.0,0.0,,
S9-USDJPY-SIG0004,2026-06-30 09:29:44.693074,USDJPY,1,TP,161.999,161.899,162.349,3.5,,,162.346,2026-06-30 06:55:00,0.384,2.29,,
S9-USDJPY-SIG0002,2026-06-30 20:58:32,USDJPY,1,SL,161.62,161.484,162.232,4.5,2026-06-23 23:25:48,2026-06-23 23:25:48,161.484,2026-06-24 03:12:56,-1.0,-0.84,,
S9-USDJPY-IB0004,2026-06-30 21:50:50,USDJPY,1,expirat,161.833,161.765,161.969,2.0,,,,,0.0,0.0,,
S9-USDJPY-IB0005,2026-06-30 21:50:50,USDJPY,1,expirat,161.868,161.782,162.04,2.0,,,,,0.0,0.0,,
S9-USDJPY-IB0008,2026-07-01 12:30:06.187398,USDJPY,1,expirat,162.723,162.614,162.941,2.0,2026-07-01 11:00:00,,,2026-07-01 12:15:00,0.0,0.0,,
S9-USDJPY-IB0009,2026-07-01 17:40:06.028248,USDJPY,1,invalidat,162.471,162.319,162.775,2.0,2026-07-01 17:15:00,,,,0.0,0.0,,
S9-USDJPY-FLG0001,2026-07-06 11:15:05.253965,USDJPY,1,expirat,162.327,162.094,162.56,1.0,2026-07-06 09:45:00,,,2026-07-06 11:00:00,0.0,0.0,,
S9-USDJPY-IB0011,2026-07-06 17:00:05.173773,USDJPY,1,news_close,162.343,162.265,162.499,2.0,2026-07-06 14:30:00,2026-07-06 14:45:00,162.35,2026-07-06 17:00:05.173773,0.09,0.173,,
S9-USDJPY-IB0012,2026-07-06 19:30:05.302965,USDJPY,1,SL,162.379,162.26,162.617,2.0,2026-07-06 17:30:00,2026-07-06 17:45:00,162.263,2026-07-06 22:19:38,-0.975,-1.47,-0.14,0.0
S9-USDJPY-IB0013,2026-07-07 18:30:05.454944,USDJPY,1,expirat,162.042,161.817,162.492,2.0,2026-07-07 17:00:00,,,2026-07-07 18:15:00,0.0,0.0,,
S9-USDJPY-IB0014,2026-07-09 08:45:05.072017,USDJPY,1,SL,162.467,162.345,162.711,2.0,2026-07-09 03:30:00,2026-07-09 03:45:00,162.345,2026-07-09 11:33:11,-1.0,-1.49,-0.14,0.0
