signal_id,time,symbol,direction,dir_str,entry,sl,tp,r_ratio,atr_pips,n_optional,rsi
S9-USDJPY-SIG0001,2026-06-23 01:00:00,USDJPY,1,LONG,161.633,161.457,162.249,3.5,7.3,1,53.8
S9-USDJPY-SIG0002,2026-06-23 19:45:00,USDJPY,1,LONG,161.62,161.484,162.232,4.5,5.8,2,58.1
S9-USDJPY-IB0001,2026-06-24 00:30:00,USDJPY,1,LONG,161.526,161.45,161.678,2.0,4.3,0,41.9
S9-USDJPY-IB0002,2026-06-24 02:15:00,USDJPY,1,LONG,161.593,161.514,161.751,2.0,4.3,0,52.6
S9-USDJPY-SIG0003,2026-06-24 06:00:00,USDJPY,1,LONG,161.624,161.513,162.1235,4.5,3.9,2,56.0
S9-USDJPY-IB0003,2026-06-24 17:45:00,USDJPY,1,LONG,161.836,161.705,162.098,2.0,4.7,0,64.2
