signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S1-EURUSD-IB0022,2026-07-27 13:46:19.841956,EURUSD,1,ai_reject,1.14035,1.13932,1.14241,2.0,2026-07-27 13:30:00,,,,0.0,,,
S1-EURUSD-SIG0012,2026-07-27 17:02:21.913260,EURUSD,-1,ai_reject,1.13703,1.13886,1.13246,2.5,2026-07-27 16:45:00,,,,0.0,,,
S1-EURUSD-IB0024,2026-07-28 10:46:04.704858,EURUSD,-1,ai_reject,1.13665,1.13755,1.13485,2.0,2026-07-28 10:30:00,,,,0.0,,,
S1-EURUSD-SIG0013,2026-07-28 11:00:22.781797,EURUSD,-1,ai_reject,1.13611,1.13755,1.13107,3.5,2026-07-28 10:45:00,,,,0.0,,,
S1-EURUSD-IB0025,2026-07-30 12:17:21.624712,EURUSD,1,ai_reject,1.14604,1.14447,1.14918,2.0,2026-07-30 12:00:00,,,,0.0,,,
S1-EURUSD-IB0026,2026-07-30 16:32:29.415540,EURUSD,1,ai_reject,1.1483,1.14675,1.1514,2.0,2026-07-30 16:15:00,,,,0.0,,,
S1-EURUSD-IB0027,2026-08-04 10:17:26.438490,EURUSD,1,ai_reject,1.15126,1.15018,1.15342,2.0,2026-08-04 10:00:00,,,,0.0,,,
S1-EURUSD-IB0028,2026-08-04 13:48:29.799109,EURUSD,1,ai_reject,1.15194,1.15059,1.15464,2.0,2026-08-04 13:30:00,,,,0.0,,,
S1-EURUSD-IB0029,2026-08-05 14:02:30.891244,EURUSD,1,ai_reject,1.15429,1.15345,1.15597,2.0,2026-08-05 13:45:00,,,,0.0,,,
S1-EURUSD-IB0030,2026-08-06 16:47:25.650634,EURUSD,1,ai_reject,1.15457,1.15345,1.15681,2.0,2026-08-06 16:30:00,,,,0.0,,,
S1-EURUSD-IB0031,2026-08-10 17:31:42.633534,EURUSD,1,ai_reject,1.15559,1.15424,1.15829,2.0,2026-08-10 17:15:00,,,,0.0,,,
S1-EURUSD-IB0032,2026-08-11 12:17:12.614347,EURUSD,-1,ai_reject,1.15316,1.15402,1.15144,2.0,2026-08-11 12:00:00,,,,0.0,,,
S1-EURUSD-IB0033,2026-08-11 14:46:35.389426,EURUSD,-1,ai_reject,1.15341,1.1544,1.15143,2.0,2026-08-11 14:30:00,,,,0.0,,,
S1-EURUSD-SIG0014,2026-08-12 12:17:37.433973,EURUSD,1,ai_reject,1.15432,1.15325,1.15806,3.5,2026-08-12 12:00:00,,,,0.0,,,
S1-EURUSD-IB0035,2026-08-12 14:02:26.197248,EURUSD,-1,ai_reject,1.15303,1.15399,1.15111,2.0,2026-08-12 13:45:00,,,,0.0,,,
S1-EURUSD-IB0036,2026-08-12 14:32:43.206025,EURUSD,1,ai_reject,1.15412,1.15318,1.156,2.0,2026-08-12 14:15:00,,,,0.0,,,
S1-EURUSD-IB0037,2026-08-12 18:47:21.462607,EURUSD,-1,ai_reject,1.1534,1.15446,1.15128,2.0,2026-08-12 18:30:00,,,,0.0,,,
S1-EURUSD-IB0038,2026-08-17 12:31:10.245944,EURUSD,1,ai_reject,1.16042,1.1595,1.16226,2.0,2026-08-17 12:15:00,,,,0.0,,,
S1-EURUSD-IB0039,2026-08-17 16:00:43.630074,EURUSD,1,ai_reject,1.15997,1.1587,1.16251,2.0,2026-08-17 15:45:00,,,,0.0,,,
S1-EURUSD-SIG0015,2026-08-18 15:20:18.476299,EURUSD,1,ai_reject,1.15814,1.15718,1.1615,3.5,2026-08-18 15:00:00,,,,0.0,,,
S1-EURUSD-IB0040,2026-08-18 17:20:42.648359,EURUSD,1,ai_reject,1.1589,1.1576,1.1615,2.0,2026-08-18 17:00:00,,,,0.0,,,
S1-EURUSD-IB0041,2026-08-19 15:15:37.069082,EURUSD,1,ai_reject,1.16079,1.15986,1.16265,2.0,2026-08-19 15:00:00,,,,0.0,,,
S1-EURUSD-SIG0016,2026-08-19 15:30:41.966257,EURUSD,1,ai_reject,1.16123,1.15974,1.16644,3.5,2026-08-19 15:15:00,,,,0.0,,,
S1-EURUSD-SIG0017,2026-09-01 13:45:58.478650,EURUSD,-1,ai_reject,1.15884,1.16033,1.15363,3.5,2026-09-01 13:30:00,,,,0.0,,,
S1-EURUSD-IB0042,2026-09-01 15:00:37.292401,EURUSD,-1,ai_reject,1.15895,1.15978,1.15729,2.0,2026-09-01 14:45:00,,,,0.0,,,
S1-EURUSD-IB0043,2026-09-01 17:45:28.119134,EURUSD,-1,ai_reject,1.15976,1.16098,1.15732,2.0,2026-09-01 17:30:00,,,,0.0,,,
S1-EURUSD-IB0044,2026-09-02 17:31:01.267140,EURUSD,-1,ai_reject,1.15867,1.16064,1.15473,2.0,2026-09-02 17:15:00,,,,0.0,,,
S1-EURUSD-SIG0018,2026-09-03 19:00:16.982742,EURUSD,1,ai_reject,1.16256,1.16113,1.16757,3.5,2026-09-03 18:45:00,,,,0.0,,,
