signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S20-XAUUSD-IB0021,2026-07-28 07:15:44.653043,XAUUSD,-1,ai_reject,4041.5,4052.85,4018.8,2.0,2026-07-28 07:00:00,,,,0.0,,,
S20-XAUUSD-SIG0013,2026-07-28 08:00:42.160401,XAUUSD,-1,ai_reject,4039.45,4053.2,3991.325,3.5,2026-07-28 07:45:00,,,,0.0,,,
S20-XAUUSD-IB0023,2026-07-30 01:45:31.591124,XAUUSD,1,ai_reject,4083.48,4070.69,4109.06,2.0,2026-07-30 01:30:00,,,,0.0,,,
S20-XAUUSD-IB0024,2026-07-30 04:46:13.691078,XAUUSD,1,ai_reject,4091.76,4071.28,4132.72,2.0,2026-07-30 04:30:00,,,,0.0,,,
S20-XAUUSD-IB0025,2026-07-30 18:47:16.453318,XAUUSD,1,ai_reject,4108.94,4082.77,4161.28,2.0,2026-07-30 18:30:00,,,,0.0,,,
S20-XAUUSD-IB0026,2026-07-31 06:47:11.301851,XAUUSD,1,ai_reject,4081.43,4070.29,4103.71,2.0,2026-07-31 06:30:00,,,,0.0,,,
S20-XAUUSD-IB0027,2026-08-04 01:17:11.641915,XAUUSD,-1,ai_reject,4042.64,4059.21,4009.5,2.0,2026-08-04 01:00:00,,,,0.0,,,
S20-XAUUSD-IB0028,2026-08-04 05:47:11.128302,XAUUSD,1,ai_reject,4067.03,4053.85,4093.39,2.0,2026-08-04 05:30:00,,,,0.0,,,
S20-XAUUSD-SIG0014,2026-08-04 19:04:39.224758,XAUUSD,1,ai_reject,4090.86,4072.39,4173.975,4.5,2026-08-04 18:45:00,,,,0.0,,,
S20-XAUUSD-SIG0015,2026-08-06 05:16:44.936094,XAUUSD,1,ai_reject,4306.08,4271.03,4428.755,3.5,2026-08-06 05:00:00,,,,0.0,,,
S20-XAUUSD-IB0029,2026-08-06 08:01:12.742682,XAUUSD,1,ai_reject,4265.01,4253.4,4288.23,2.0,2026-08-06 07:45:00,,,,0.0,,,
S20-XAUUSD-IB0030,2026-08-06 22:17:31.278700,XAUUSD,1,ai_reject,4253.29,4238.78,4282.31,2.0,2026-08-06 22:00:00,,,,0.0,,,
S20-XAUUSD-IB0031,2026-08-07 01:32:27.058644,XAUUSD,1,ai_reject,4245.49,4233.78,4268.91,2.0,2026-08-07 01:15:00,,,,0.0,,,
S20-XAUUSD-IB0032,2026-08-07 06:46:22.658181,XAUUSD,1,ai_reject,4263.25,4249.7,4290.35,2.0,2026-08-07 06:30:00,,,,0.0,,,
S20-XAUUSD-IB0033,2026-08-07 08:15:53.853285,XAUUSD,1,ai_reject,4273.26,4260.36,4299.06,2.0,2026-08-07 08:00:00,,,,0.0,,,
S20-XAUUSD-IB0034,2026-08-07 08:46:20.828874,XAUUSD,1,ai_reject,4279.43,4262.74,4312.81,2.0,2026-08-07 08:30:00,,,,0.0,,,
S20-XAUUSD-SIG0016,2026-08-07 18:17:14.584425,XAUUSD,1,ai_reject,4357.99,4325.5,4504.195,4.5,2026-08-07 18:00:00,,,,0.0,,,
S20-XAUUSD-SIG0017,2026-08-11 05:00:34.648104,XAUUSD,1,ai_reject,4436.03,4391.74,4591.045,3.5,2026-08-11 04:45:00,,,,0.0,,,
S20-XAUUSD-IB0035,2026-08-11 06:31:48.278135,XAUUSD,1,ai_reject,4422.83,4407.64,4453.21,2.0,2026-08-11 06:15:00,,,,0.0,,,
S20-XAUUSD-IB0036,2026-08-11 21:47:12.537585,XAUUSD,1,ai_reject,4373.86,4358.42,4404.74,2.0,2026-08-11 21:30:00,,,,0.0,,,
S20-XAUUSD-IB0037,2026-08-13 17:45:55.423261,XAUUSD,1,ai_reject,4383.81,4365.7,4420.03,2.0,2026-08-13 17:30:00,,,,0.0,,,
S20-XAUUSD-IB0038,2026-08-13 21:15:30.081923,XAUUSD,1,ai_reject,4364.72,4353.74,4386.68,2.0,2026-08-13 21:00:00,,,,0.0,,,
