signal_id,time,symbol,direction,dir_str,entry,sl,tp,r_ratio,atr_pips,n_optional,rsi
S20-XAUUSD-IB0021,2026-07-28 07:00:00,XAUUSD,-1,SHORT,4041.5,4052.85,4018.8,2.0,5.5,0,31.5
S20-XAUUSD-SIG0013,2026-07-28 07:45:00,XAUUSD,-1,SHORT,4039.45,4053.2,3991.325,3.5,5.4,1,32.7
S20-XAUUSD-IB0023,2026-07-30 01:30:00,XAUUSD,1,LONG,4083.48,4070.69,4109.06,2.0,14.9,0,60.9
S20-XAUUSD-IB0024,2026-07-30 04:30:00,XAUUSD,1,LONG,4091.76,4071.28,4132.72,2.0,12.4,0,59.1
S20-XAUUSD-IB0025,2026-07-30 18:30:00,XAUUSD,1,LONG,4108.94,4082.77,4161.28,2.0,13.6,0,60.7
S20-XAUUSD-IB0026,2026-07-31 06:30:00,XAUUSD,1,LONG,4081.43,4070.29,4103.71,2.0,6.4,0,33.3
S20-XAUUSD-IB0027,2026-08-04 01:00:00,XAUUSD,-1,SHORT,4042.64,4059.21,4009.5,2.0,5.5,0,58.1
S20-XAUUSD-IB0028,2026-08-04 05:30:00,XAUUSD,1,LONG,4067.03,4053.85,4093.39,2.0,6.2,0,61.4
S20-XAUUSD-SIG0014,2026-08-04 18:45:00,XAUUSD,1,LONG,4090.86,4072.39,4173.975,4.5,9.8,2,61.0
