signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S15-GBPUSD-IB0001,2026-06-26 18:00:05.243839,GBPUSD,1,SL,1.32159,1.31985,1.32507,2.0,,2026-06-26 11:30:00,1.31995,2026-06-26 20:57:50,-0.943,-1.65,,
S15-GBPUSD-SIG0001,2026-06-26 20:00:33.857001,GBPUSD,1,vineri_close,1.32162,1.31889,1.3339,4.5,,2026-06-26 11:45:00,1.32052,2026-06-26 23:01:00,-0.401,-1.09,,
S15-GBPUSD-IB0002,2026-06-26 20:00:33.857001,GBPUSD,1,vineri_close,1.3219,1.31953,1.32664,2.0,,2026-06-26 18:30:00,1.32057,2026-06-26 23:01:07,-0.57,-1.38,,
S15-GBPUSD-IB0003,2026-06-26 20:45:05.695630,GBPUSD,1,invalidat,1.32117,1.32025,1.32301,2.0,,,,,0.0,0.0,,
S15-GBPUSD-IB0004,2026-07-01 15:45:05.048157,GBPUSD,1,SL,1.32526,1.32373,1.32832,2.0,2026-07-01 11:15:00,2026-07-01 11:30:00,1.32374,2026-07-01 18:35:23,-0.993,-1.51,-0.08,0.0
S15-GBPUSD-IB0005,2026-07-02 15:30:05.021401,GBPUSD,1,news_close,1.33248,1.32961,1.33822,2.0,2026-07-02 10:15:00,2026-07-02 10:30:00,1.33304,2026-07-02 15:30:05.021401,0.195,0.5597,,
S15-GBPUSD-IB000_1786421406,2026-07-03 08:46:58,GBPUSD,1,TP,1.3324799999999999,1.32961,1.33822,2.0,2026-07-02 13:39:13,2026-07-02 13:39:13,1.33304,2026-07-02 18:30:20,0.195,0.56
S15-GBPUSD-IB0006,2026-07-07 13:15:05.277876,GBPUSD,1,SL,1.33854,1.33751,1.3406,2.0,2026-07-07 09:30:00,2026-07-07 10:15:00,1.33751,2026-07-07 16:01:15,-1.0,-2.06,-0.14,0.0
S15-GBPUSD-SIG0002,2026-07-13 10:00:05.236484,GBPUSD,1,SL,1.33906,1.33753,1.34441,3.5,2026-07-13 09:15:00,2026-07-13 09:30:00,1.33746,2026-07-13 12:53:57,-1.046,-1.64,-0.08,0.0
S15-GBPUSD-SIG0003,2026-07-13 17:15:05.059574,GBPUSD,1,SL,1.34009,1.33831,1.3481,4.5,2026-07-13 13:45:00,2026-07-13 14:00:00,1.33836,2026-07-13 20:01:30,-0.972,-1.66,-0.08,0.0
S15-GBPUSD-IB0007,2026-07-14 17:00:05.017957,GBPUSD,1,news_cancel,1.34171,1.33973,1.34567,2.0,2026-07-14 16:30:00,,,2026-07-14 17:00:05.017957,0.0,0.0,,
S15-GBPUSD-IB000_1807516852,2026-07-14 20:44:32.530783,GBPUSD,1,SL,1.34172,1.3397299999999999,1.34567,1.985,,2026-07-14 19:50:21,1.33971,2026-07-14 20:30:11,-1.01,-2.01,-0.08,0.0
S15-GBPUSD-IB0008,2026-07-15 15:30:05.229499,GBPUSD,1,news_close,1.34017,1.33799,1.34453,2.0,2026-07-15 13:45:00,2026-07-15 14:00:00,1.34139,2026-07-15 15:30:05.229499,0.56,1.2208,,
S15-GBPUSD-IB000_1809403272,2026-07-16 20:54:12.718670,GBPUSD,1,TP,1.34018,1.33799,1.34453,1.986,,2026-07-15 17:10:23,1.34139,2026-07-15 18:30:39,0.553,1.21,-0.08,0.0
