signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S4-GER40-IB0001,2026-06-26 14:15:05.334092,DE40,-1,be_lock,24766.6998,24821.2002,24657.699,2.0,,2026-06-26 11:45:00,24712.1994,2026-06-26 14:00:00,1.0,,,
S4-GER40-SIG0001,2026-06-30 21:52:21,DE40,-1,expirat,24645.1998,24720.7002,24380.9484,3.5,,,,,0.0,0.0,,
S4-GER40-IB0002,2026-07-02 14:00:05.084344,DE40,1,TP,25159.9002,25093.8998,25291.901,2.0,2026-07-02 11:30:00,2026-07-02 11:45:00,25291.901,2026-07-02 13:45:00,2.0,,,
S4-GER40-IB0003,2026-07-03 04:15:05.205140,DE40,1,be_lock2,25521.4002,25430.3998,25703.401,2.0,2026-07-02 16:15:00,2026-07-02 16:30:00,25648.800760000002,2026-07-03 04:00:00,1.4,,,
S4-GER40-IB0004,2026-07-09 16:15:05.064156,DE40,-1,SL,24950.3998,25032.9002,24785.399,2.0,2026-07-09 11:15:00,2026-07-09 11:30:00,25032.9002,2026-07-09 16:00:00,-1.0,,,
S4-GER40-IB0007,2026-07-15 16:15:05.356990,DE40,-1,SL,24967.9998,25034.5002,24834.999,2.0,2026-07-15 12:30:00,2026-07-15 12:45:00,25034.5002,2026-07-15 16:00:00,-1.0,,,
S4-GER40-SIG0002,2026-07-16 20:54:13.193141,DE40,-1,be_lock,25056.1998,25133.7002,24784.9484,3.5,2026-07-13 17:30:00,2026-07-13 17:45:00,24920.574099999998,2026-07-14 07:30:00,1.75,,,
S4-GER40-IB0008,2026-07-17 13:30:05.089198,DE40,-1,SL,24660.0998,24740.6002,24499.099,2.0,2026-07-17 12:00:00,2026-07-17 12:30:00,24740.6002,2026-07-17 13:15:00,-1.0,,,
S4-GER40-SIG0003,2026-07-24 10:15:05.134534,DE40,-1,SL,24780.7998,24876.8002,24444.7984,3.5,2026-07-23 17:30:00,2026-07-23 17:45:00,24876.8002,2026-07-24 10:00:00,-1.0,,,
