signal_id,time,symbol,direction,dir_str,entry,sl,tp,r_ratio,atr_pips,n_optional,rsi
S4-GER40-IB0001,2026-06-26 11:30:00,DE40,-1,SHORT,24766.6998,24821.2002,24657.699,2.0,446979.8,0,41.9
S4-GER40-SIG0001,2026-06-26 15:30:00,DE40,-1,SHORT,24645.1998,24720.7002,24380.9484,3.5,408233.8,1,34.2
S4-GER40-IB0002,2026-07-02 11:30:00,DE40,1,LONG,25159.9002,25093.8998,25291.901,2.0,419037.4,0,58.3
S4-GER40-IB0003,2026-07-02 16:15:00,DE40,1,LONG,25521.4002,25430.3998,25703.401,2.0,462817.7,0,83.3
S4-GER40-IB0004,2026-07-09 11:15:00,DE40,-1,SHORT,24950.3998,25032.9002,24785.399,2.0,429681.7,0,37.4
S4-GER40-IB0005,2026-07-13 15:30:00,DE40,-1,SHORT,25051.1998,25100.6002,24952.399,2.0,368506.2,0,50.4
S4-GER40-IB0006,2026-07-13 17:15:00,DE40,-1,SHORT,24973.1998,25133.2002,24653.199,2.0,474169.1,0,50.3
S4-GER40-SIG0002,2026-07-13 17:30:00,DE40,-1,SHORT,25056.1998,25133.7002,24784.9484,3.5,469228.5,1,47.1
