signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S6-US30-M15-SIG0002,2026-06-16 16:45:05.038006,US30,1,expirat,51752.6,51700.6,51986.6,4.5,,,,2026-06-16 15:45:00,0.0,,,
S6-US30-M15-SIG0001,2026-06-17T15:25:49.233783,US30,1,expirat,51200.3,51062.3,51821.3,4.5,,,,,0.0,,,
S6-US30-M15-SIG0003,2026-06-17 20:00:05.084657,US30,1,expirat,52273.5,52017.5,53169.5,3.5,,,,2026-06-17 19:45:00,0.0,,,
S6-US30-IB0001,2026-06-30 21:52:21,US30,1,expirat,52352.2,52190.2,52676.2,2.0,,,,,0.0,0.0,,
S6-US30-IB0002,2026-07-01 19:00:05.194353,US30,1,TP,52440.7,52354.2,52613.7,2.0,2026-07-01 17:45:00,2026-07-01 18:00:00,52613.7,2026-07-01 18:45:00,2.0,,,
S6-US30-IB0003,2026-07-03 14:37:31.772526,US30,1,be_lock,52698.1,52512.1,53070.1,2.0,2026-07-02 21:30:00,2026-07-02 22:30:00,52884.1,2026-07-03 11:00:00,1.0,,,
S6-US30-IB0004,2026-07-07 22:15:05.107740,US30,1,SL,52934.1,52860.6,53081.1,2.0,2026-07-07 20:15:00,2026-07-07 20:30:00,52860.6,2026-07-07 22:00:00,-1.0,,,
S6-US30-IB0007,2026-07-14 18:00:05.193383,US30,1,SL,52656.1,52500.3,52967.7,2.0,2026-07-14 17:00:00,2026-07-14 17:30:00,52500.3,2026-07-14 17:45:00,-1.0,,,
S6-US30-IB0008,2026-07-16 19:15:05.163579,US30,1,be_lock,52579.9,52437.4,52864.9,2.0,2026-07-15 19:45:00,2026-07-15 20:00:00,52722.4,2026-07-16 19:00:00,1.0,,,
S6-US30-IB0009,2026-07-16 20:45:05.165248,US30,1,SL,52715.2,52585.2,52975.2,2.0,2026-07-16 19:45:00,2026-07-16 20:00:00,52585.2,2026-07-16 20:30:00,-1.0,,,
S6-US30-IB0012,2026-07-22 20:30:05.067644,US30,1,SL,52408.0,52329.0,52566.0,2.0,2026-07-22 18:45:00,2026-07-22 19:00:00,52329.0,2026-07-22 20:15:00,-1.0,,,
S6-US30-IB0013,2026-07-23 19:15:05.348352,US30,-1,SL,51597.6,51746.6,51299.6,2.0,2026-07-23 18:00:00,2026-07-23 18:15:00,51746.6,2026-07-23 19:00:00,-1.0,,,
S6-US30-IB0014,2026-07-24 04:00:05.619304,US30,-1,SL,51624.5,51765.5,51342.5,2.0,2026-07-23 20:30:00,2026-07-23 20:45:00,51765.5,2026-07-24 03:45:00,-1.0,,,
